Dataset,Tamaño Ventana,Tiempo Medio,Fitnes Medio
Daily_Temperatures,730,0.021364291508992512,1.2551075402190222
Daily_Temperatures,365,5.950154741605123,1.8890357401521831
Heart_Rate_P1,600,0.006377490361531576,0.8698118557975728
Heart_Rate_P1,450,0.008017214139302571,1.1462791008465627
Heart_Rate_P1,360,0.011175537109375,1.4411150018868588
Heart_Rate_P1,300,0.01469434102376302,1.6721697867407452
Heart_Rate_P1,225,0.03312987486521403,2.028200053833685
Heart_Rate_P1,200,1.76806484858195,2.3526277651855425
Heart_Rate_P1,180,5.811283413569132,2.673123264481806
Heart_Rate_P2,600,0.00628046194712321,0.7955193081304723
Heart_Rate_P2,450,0.008063753445943197,1.2767258014528382
Heart_Rate_P2,360,0.011165706316630046,1.3364533359643067
Heart_Rate_P2,300,0.014518364270528158,2.05857332723376
Heart_Rate_P2,225,0.5340636650721232,2.1942916761665505
Heart_Rate_P2,200,1.771713908513387,2.1867224736474293
Heart_Rate_P2,180,5.892863750457764,2.8994729659254355
Heart_Rate_P3,190,0.007891194025675455,1.0528889662965286
Heart_Rate_P3,95,5.636166095733643,3.2250432888099865
Heart_Rate_P4,190,0.007879424095153808,1.0157161262668428
Heart_Rate_P4,95,5.683097942670186,2.8031357483065076
Synthetic_1,250,0.008879327774047851,1.3585300742315825
Synthetic_1,200,0.018569135665893556,0.0733571022609863
Synthetic_1,125,435.81173774401344,1.6806188575528627
Synthetic_1,100,-1.0,-1.0
Synthetic_2,250,0.015894007682800294,0.6033669265163264
Synthetic_2,200,0.018403840065002442,0.7030926888335756
Synthetic_2,125,440.90584006309507,1.5194937181486428
Synthetic_2,100,-1.0,-1.0
Synthetic_3,250,0.005915538469950358,1.3542446277451696
Synthetic_3,200,0.018564248085021974,2.1590707775434246
Synthetic_3,125,129.0768063465754,3.1210595176910325
Synthetic_3,100,-1.0,-1.0
Synthetic_4,250,0.016011985143025716,0.643311423963375
Synthetic_4,200,0.01856518586476644,1.810092177680498
Synthetic_4,125,30.028497314453126,2.0757571185408294
Synthetic_4,100,-1.0,-1.0
Synthetic_5,250,0.005989440282185872,1.3292038567821165
Synthetic_5,200,0.0187070369720459,1.4948696931774696
Synthetic_5,125,5.04329498608907,2.210449082563675
Synthetic_5,100,-1.0,-1.0
