Dataset,Tiempo_Exh_It,NRMSE_Exh_It,Tiempo_Exh_Par,NRMSE_Exh_Par,Tiempo_Evo_VF,NRMSE_Evo_VF,Tiempo_Evo_VV,NRMSE_Evo_VV
Daily_Temperatures,0.0213642915089925,1.2551075402190222,0.1362204313278198,1.2551075402190222,0.4144365708033243,1.2551075402190222,11.405266984303791,0.5276213293207429
Heart_Rate_P1,0.0063774903615315,0.8698118557975728,0.1236316204071044,0.8698118557975728,0.2823844750722249,0.8698118557975728,3.227160580952962,0.828084722934879
Heart_Rate_P2,0.0062804619471232,0.7955193081304723,0.1236411492029825,0.7955193081304723,0.2826178868611653,0.7955193081304723,3.1799254496892293,0.7592336571031987
Heart_Rate_P3,0.0078911940256754,1.0528889662965286,0.1231218179066975,1.0528889662965286,0.3775215148925781,1.0528889662965286,1.4801959673563638,0.6461140793715192
Heart_Rate_P4,0.0078794240951538,1.0157161262668428,0.1236721992492675,1.0157161262668428,0.377006729443868,1.0157161262668428,1.5383448998133342,0.6585734961230755
Synthetic_1,0.0185691356658935,0.0733571022609863,0.1237792730331421,0.0733571022609863,0.378376833597819,0.0733571022609863,1.7275605122248332,0.2809877668901854
Synthetic_2,0.0158940076828002,0.6033669265163264,0.124222707748413,0.6033669265163264,0.3280650854110717,0.6033669265163264,1.6750665108362834,0.2953506615052307
Synthetic_3,0.0059155384699503,1.3542446277451696,0.124875251452128,1.3542446277451696,0.3242893298467,1.3542446277451696,1.6271119912465413,0.4452814869564946
Synthetic_4,0.0160119851430257,0.643311423963375,0.1278002023696899,0.643311423963375,0.3275802453358968,0.643311423963375,1.6027524709701535,0.1593474426307574
Synthetic_5,100,100,100,100,0.7201730807622274,0.2726729418333893,1.7084592262903848,0.5134344713864395
