Dataset,1_1_1,1_1_2,1_1_3,1_2_1,1_2_2,1_2_3,1_3_1,1_3_2,1_3_3,2_1_1,2_1_2,2_1_3,2_2_1,2_2_2,2_2_3,2_3_1,2_3_2,2_3_3
Heart_Rate_P2_450,0.3627554814020792,0.362126620610555,0.3630481004714966,0.3174002806345621,0.3311034838358561,0.3188917477925618,0.3177984714508056,0.329614249865214,0.3190070390701294,0.3937467018763224,0.3909252802530924,0.3926700989405314,0.342972985903422,0.358252215385437,0.3433797200520833,0.342343266805013,0.358278218905131,0.3450624783833821
Heart_Rate_P2_360,0.3794602314631144,0.3797986427942911,0.3848551591237386,0.3725046078364054,0.3855303525924682,0.3724547068277994,0.3723954836527506,0.3857418775558471,0.3733930508295695,0.4072008848190308,0.4055141528447469,0.4103416363398234,0.3988630771636963,0.4191080729166667,0.3978186686833699,0.3983365933100382,0.4163758277893066,0.4001803000768025
Heart_Rate_P2_300,0.4332406282424926,0.434561014175415,0.439420215288798,0.4258747657140096,0.4396185715993245,0.4266831000645955,0.4269840002059936,0.439648691813151,0.4283430496851603,0.4634064118067423,0.4610558827718099,0.4677881638209025,0.4530050834019979,0.469788392384847,0.452598778406779,0.4534459511439005,0.4694403886795044,0.4557141383488973
Heart_Rate_P2_225,0.711957573890686,0.7179705381393433,0.7926435470581055,0.6281129837036132,0.5732013702392578,0.5763307491938273,0.6282889684041341,0.5732112328211466,0.5773185571034749,0.809272829691569,0.7533597628275553,0.7698282877604167,0.6483613014221191,0.6106668710708618,0.60558602809906,0.6469101587931315,0.6087940613428752,0.6095098813374837
Heart_Rate_P2_200,0.8268444856007894,0.8692179123560587,0.8559707562128703,0.7188167889912923,0.6402401765187581,0.6629841009775798,0.7192365328470866,0.6410598834355672,0.6630234320958456,0.8736594915390015,0.9204149643580118,0.8680388927459717,0.7363272428512573,0.6818752527236939,0.6689789215723674,0.7384726762771606,0.6724891821543376,0.672888986269633
Heart_Rate_P2_180,0.9005896011988322,0.911501924196879,0.948320174217224,0.9167344570159912,0.7150647560755412,0.7273298819859823,0.9147075414657592,0.717924960454305,0.7264999787012736,0.9783626635869344,0.9029356479644776,0.9782211780548096,0.9726858059565228,0.7713063398996989,0.7900248845418294,0.9774858554204304,0.7625914891560872,0.7926235993703207
Heart_Rate_P3_190,0.3716705004374186,0.3724929014841715,0.3743387619654337,0.3652719020843505,0.3776325066884359,0.366181747118632,0.3639178991317749,0.3775215148925781,0.36613396803538,0.399180006980896,0.3977671305338541,0.4043567975362142,0.390173331896464,0.4072373231252034,0.3913333018620809,0.3923865795135498,0.4077213128407796,0.3936861912409464
Heart_Rate_P3_95,0.9177050431569416,0.8539244174957276,0.8609457174936931,0.6707574526468912,0.6791079759597778,0.6628775914510091,0.667348837852478,0.6774982611338297,0.6616915782292684,1.0644301573435466,0.956908098856608,1.0131170590718588,0.7065899848937989,0.7042216777801513,0.6893610000610352,0.710890285174052,0.7034477631251017,0.6917445262273153
Heart_Rate_P4_190,0.3710027376810709,0.3729993104934692,0.3758854150772094,0.3643735249837239,0.376916488011678,0.3656201203664144,0.3634140014648437,0.377006729443868,0.365545399983724,0.3997841040293375,0.3983574072519938,0.4052363872528076,0.3899798154830932,0.4100953578948975,0.3916039943695068,0.3911240816116333,0.4067403475443522,0.3924305359522501
Heart_Rate_P4_95,0.9090099573135376,0.9080308198928831,0.9559819062550864,0.7255741596221924,0.6756758054097494,0.6815719683965047,0.724741252263387,0.676243789990743,0.6803683121999105,0.9025805791219076,0.9789557536443074,1.0118295749028523,0.753279693921407,0.710132360458374,0.6992302020390828,0.7580742200215658,0.7025796890258789,0.7000541925430298
Synthetic_1_250,0.3159584283828735,0.3157629251480102,0.319601575533549,0.3121808687845865,0.324038036664327,0.3128029108047485,0.3105002482732137,0.3255279699961344,0.3119139194488525,0.344339362780253,0.3436289946238199,0.3487489223480224,0.3379978974660237,0.3530069986979167,0.3400048812230428,0.3390559593836466,0.351221760114034,0.3399541060129801
Synthetic_1_200,0.3761747280756632,0.3729533672332764,0.3744065205256144,0.36543816725413,0.3773450295130411,0.366318925221761,0.3644935051600138,0.378376833597819,0.3660364707310994,0.4021397431691487,0.4029095808664957,0.4059661149978638,0.3921806573867797,0.4101106325785319,0.3933357159296671,0.3925835371017456,0.4066357056299845,0.392124350865682
Synthetic_1_125,0.7725749731063842,0.7227122227350871,0.8045219818751017,0.7504510720570882,0.6304518858591716,0.6745628197987874,0.7446788469950358,0.6312432209650676,0.6745726188023885,0.7635125796000163,0.825296409924825,0.8400879542032877,0.887522530555725,0.7025901953379313,0.8593271573384603,0.8896318515141804,0.6962770462036133,0.8576598167419434
Synthetic_1_100,0.7996931950251261,0.7808322906494141,0.7394792397816976,0.6950320323308309,0.6928303241729736,0.6811334133148194,0.693510913848877,0.6946343183517456,0.682176160812378,1.0809096813201904,0.9981601953506468,0.8714269002278646,0.7147761662801106,0.7314034223556518,0.7114216089248657,0.7166428248087565,0.7217915137608846,0.7089575131734213
Synthetic_2_250,0.3215887308120727,0.3219218571980794,0.3238359928131104,0.3161277294158935,0.3279787937800089,0.3154380321502685,0.3152563095092773,0.3280650854110717,0.3149941126505534,0.3507452567418416,0.3482130527496337,0.352273424466451,0.3408897876739502,0.3580877145131429,0.3436388889948527,0.3420823494593302,0.3555024226506551,0.3430451949437459
Synthetic_2_200,0.3709917704264323,0.3735522349675496,0.3744590838750203,0.365869657198588,0.3780499537785848,0.3655056794484456,0.3635121504465738,0.3782933473587036,0.3663805882136027,0.4029726505279541,0.3980639457702636,0.4036034981409708,0.3918525298436482,0.4107767502466837,0.3924283107121785,0.3925940672556559,0.4071619351704915,0.3920865615208944
Synthetic_2_125,0.6721959590911866,0.7066696008046468,0.7496837695439657,0.7747273365656535,0.6579016049702963,0.6741392532984416,0.771882955233256,0.6582399606704712,0.6745147466659546,0.8381216287612915,0.7272111097971599,0.7433178663253784,0.8946739196777344,0.6995822747548421,0.762163233757019,0.894657556215922,0.6954097827275594,0.760561474164327
Synthetic_2_100,0.9110788186391194,0.8407858610153198,0.829145352045695,0.6932166337966919,0.6947660605112712,0.6896220525105794,0.6925190766652425,0.6939569552739461,0.6858075777689616,1.1551202217737833,0.9801897048950196,0.8972519079844157,0.7169688622156779,0.724008027712504,0.71032768090566,0.7202702124913534,0.7253365993499756,0.7087589263916015
