Dataset,Tamaño Ventana,Tiempo Medio,Fitnes Medio,Tipo de Cruce,Tipo de Mutacion,Tipo de Reemplazo
Daily_Temperatures,730,0.4106249491373698,1.2552002792101773,1,1,1
Daily_Temperatures,730,0.4089556535085042,1.2551075402190222,1,1,2
Daily_Temperatures,730,0.4093261400858561,1.2551075402190222,1,1,3
Daily_Temperatures,730,0.39971242745717367,1.2551075402190222,1,2,1
Daily_Temperatures,730,0.4159735361735026,1.2551075402190222,1,2,2
Daily_Temperatures,730,0.4003513733545939,1.2551075402190222,1,2,3
Daily_Temperatures,730,0.39972883065541587,1.2551075402190222,1,3,1
Daily_Temperatures,730,0.41443657080332436,1.2551075402190222,1,3,2
Daily_Temperatures,730,0.4009565273920695,1.2551075402190222,1,3,3
Daily_Temperatures,730,0.4343117872873942,1.2555065395387155,2,1,1
Daily_Temperatures,730,0.436960236231486,1.2551075402190222,2,1,2
Daily_Temperatures,730,0.4401932954788208,1.2551075402190222,2,1,3
Daily_Temperatures,730,0.42609604994455974,1.2551075402190222,2,2,1
Daily_Temperatures,730,0.441650660832723,1.2551075402190222,2,2,2
Daily_Temperatures,730,0.42673368453979493,1.2551075402190222,2,2,3
Daily_Temperatures,730,0.4273134072621663,1.2551075402190222,2,3,1
Daily_Temperatures,730,0.4421992301940918,1.2551075402190222,2,3,2
Daily_Temperatures,730,0.42856266498565676,1.2551075402190222,2,3,3
Daily_Temperatures,365,0.9414077838261922,2.157587606932504,1,1,1
Daily_Temperatures,365,0.9072826782862345,1.9507306784689,1,1,2
Daily_Temperatures,365,0.9708963314692179,1.962514366612428,1,1,3
Daily_Temperatures,365,0.6963807344436646,1.8890357401521831,1,2,1
Daily_Temperatures,365,0.7123396237691243,1.8890357401521831,1,2,2
Daily_Temperatures,365,0.692585563659668,1.8890357401521831,1,2,3
Daily_Temperatures,365,0.6981048345565796,1.8890357401521831,1,3,1
Daily_Temperatures,365,0.7090823332468669,1.8890357401521831,1,3,2
